circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BIGD/20QBT_45CYC_.0D1_.3D2_2,20,hybrid_sabre_adopted,53,260,247,260,0.1952104541698131,0.0035221507589788103,384.0,0.579,53,260,247,0.1952104541698131,0.0035221507589788103,384.0,37,184,193,0.31084195897292793,0.0034964327309757247,378.0
queko_BIGD/20QBT_45CYC_.0D1_.3D2_3,20,rl_multistart_routed,56,269,234,269,0.1915355713714493,0.0034049833591179197,340.0,0.466,63,290,236,0.16266311595163638,0.0035035413998410806,466.0,40,191,132,0.2873530840132069,0.003608429876235494,332.0
queko_BIGD/20QBT_45CYC_.0D1_.3D2_4,20,rl_multistart_routed,54,259,208,259,0.19795466953765517,0.0033098189982909555,340.0,0.587,58,271,308,0.1949166023631904,0.0034270771642594647,398.0,30,161,167,0.3642263077535213,0.003590225080386032,364.0
queko_BIGD/20QBT_45CYC_.0D1_.3D2_5,20,hybrid_sabre_adopted,42,221,217,221,0.2514704248882927,0.0035011675410356884,378.0,0.561,42,221,217,0.2514704248882927,0.0035011675410356884,378.0,33,170,134,0.3487935013174088,0.0034614893812975472,310.0
queko_BIGD/20QBT_45CYC_.0D1_.3D2_6,20,hybrid_sabre_adopted,55,270,264,270,0.1822002558941925,0.0035695785834479353,354.0,0.583,55,270,264,0.1822002558941925,0.0035695785834479353,354.0,37,184,186,0.3081539220918911,0.0035492085678541646,384.0
queko_BIGD/20QBT_45CYC_.0D1_.3D2_7,20,rl_multistart_routed,54,263,276,263,0.19333133449056633,0.003486253764882583,332.0,0.375,56,269,242,0.19966212817246512,0.0033835729859077257,468.0,37,192,198,0.32373582779431803,0.0033443928762333006,376.0
queko_BIGD/20QBT_45CYC_.0D1_.3D2_8,20,rl_multistart_routed,54,257,281,257,0.2155332826089738,0.003327096684098307,338.0,0.335,56,263,251,0.19030317634470845,0.0035314623507944616,462.0,33,176,175,0.32583900525942583,0.003502134798110865,336.0
queko_BIGD/20QBT_45CYC_.0D1_.3D2_9,20,rl_multistart_routed,28,151,147,151,0.3988930411506164,0.0032825562221906277,206.0,0.325,28,151,142,0.38742651355062335,0.0034907193146616255,212.0,18,105,85,0.516972403810898,0.0036462663875385763,208.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_0,20,rl_multistart_routed,53,283,197,283,0.1662392197326444,0.0033896103230881165,420.0,0.395,66,322,265,0.14366305778215713,0.0034634148222464365,498.0,38,218,173,0.2650897893501478,0.003489246488683285,498.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_1,20,hybrid_sabre_adopted,63,309,303,309,0.15195871861798743,0.0033523543424269346,540.0,0.333,63,309,303,0.15195871861798743,0.0033523543424269346,540.0,48,230,213,0.24933159622694714,0.003513355588978998,408.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_2,20,hybrid_sabre_adopted,63,303,284,303,0.16216001605117647,0.003361869464121326,426.0,0.328,63,303,284,0.16216001605117647,0.003361869464121326,426.0,39,205,172,0.2923897733577029,0.003298020165699984,364.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_3,20,hybrid_sabre_adopted,68,326,272,326,0.13611014208787348,0.0036574126229470885,480.0,0.336,68,326,272,0.13611014208787348,0.0036574126229470885,480.0,43,211,263,0.2652135663914753,0.003527162336317666,406.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_4,20,hybrid_sabre_adopted,77,359,309,359,0.11283197951481222,0.0034749350348367777,524.0,0.342,77,359,309,0.11283197951481222,0.0034749350348367777,524.0,52,250,225,0.22138275497160034,0.003327512720820878,518.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_5,20,hybrid_sabre_adopted,63,309,243,309,0.13896370861805296,0.003528129873189106,420.0,0.404,63,309,243,0.13896370861805296,0.003528129873189106,420.0,51,255,204,0.20673382452876293,0.0035560420941414474,522.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_6,20,hybrid_sabre_adopted,67,321,283,321,0.150784501435022,0.0032184779742247824,490.0,0.334,67,321,283,0.150784501435022,0.0032184779742247824,490.0,52,246,213,0.22388004570884243,0.0032993602602891755,420.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_7,20,hybrid_sabre_adopted,72,350,304,350,0.12723844342957494,0.0031944861644764627,546.0,0.391,72,350,304,0.12723844342957494,0.0031944861644764627,546.0,57,283,231,0.17746000877770626,0.0033340807245362584,564.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_8,20,hybrid_sabre_adopted,72,352,350,352,0.11244707041475928,0.0034950568324553723,474.0,0.377,72,352,350,0.11244707041475928,0.0034950568324553723,474.0,48,246,215,0.21083291262790083,0.0034186309299069043,428.0
queko_BIGD/20QBT_45CYC_.0D1_.4D2_9,20,hybrid_sabre_adopted,65,323,312,323,0.12123023581199599,0.003652377915538586,462.0,0.354,65,323,312,0.12123023581199599,0.003652377915538586,462.0,46,232,206,0.238169234329888,0.0034775488682088863,412.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_0,20,hybrid_sabre_adopted,79,384,308,384,0.09026813133824516,0.0035512488857365955,526.0,0.352,79,384,308,0.09026813133824516,0.0035512488857365955,526.0,55,280,268,0.17613178137254581,0.0033969612699103658,486.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_1,20,hybrid_sabre_adopted,86,405,378,405,0.0809884657464668,0.0034337873896118547,652.0,0.366,86,405,378,0.0809884657464668,0.0034337873896118547,652.0,52,267,237,0.1826622829336139,0.003606019675465935,466.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_2,20,rl_multistart_routed,82,397,397,397,0.08044851418860577,0.003465544536311791,558.0,0.433,89,418,371,0.07603034510165217,0.0033643706367927767,718.0,62,293,256,0.17249123814526396,0.0033469224982321986,624.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_3,20,rl_multistart_routed,88,429,390,429,0.06325245908244505,0.0034785338369197807,592.0,0.463,96,453,393,0.06113098864019105,0.0034598093595041347,590.0,70,337,259,0.12870561138818246,0.003391737865483388,674.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_4,20,hybrid_sabre_adopted,71,374,369,374,0.08928811441179604,0.00360378681973618,546.0,0.425,71,374,369,0.08928811441179604,0.00360378681973618,546.0,58,289,227,0.15289494341106408,0.0036182819194405884,528.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_5,20,hybrid_sabre_adopted,74,369,367,369,0.10541709900958476,0.003395834639050409,540.0,0.646,74,369,367,0.10541709900958476,0.003395834639050409,540.0,56,273,235,0.18482194399543544,0.0034691470777155425,560.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_6,20,hybrid_sabre_adopted,95,458,496,458,0.045117741383127685,0.003674000057551474,654.0,0.652,95,458,496,0.045117741383127685,0.003674000057551474,654.0,81,372,326,0.09922019166203624,0.0034981827028286302,680.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_7,20,hybrid_sabre_adopted,85,422,424,422,0.06923394222646415,0.003524302262377681,558.0,0.64,85,422,424,0.06923394222646415,0.003524302262377681,558.0,64,319,302,0.1415162923669151,0.003432711674791131,612.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_8,20,hybrid_sabre_adopted,99,468,404,468,0.05657489904994027,0.0032696303194078413,666.0,0.449,99,468,404,0.05657489904994027,0.0032696303194078413,666.0,78,351,321,0.12056388634209012,0.003470022279467745,710.0
queko_BIGD/20QBT_45CYC_.0D1_.5D2_9,20,hybrid_sabre_adopted,67,356,321,356,0.12159744414083268,0.0033899496445317988,486.0,0.425,67,356,321,0.12159744414083268,0.0033899496445317988,486.0,62,297,243,0.15670917169410414,0.003547969596103302,574.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_0,20,hybrid_sabre_adopted,102,486,383,486,0.05137206142866135,0.0033695648402350714,762.0,0.377,102,486,383,0.05137206142866135,0.0033695648402350714,762.0,73,339,277,0.12683259004635253,0.0033961638199881848,656.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_1,20,hybrid_sabre_adopted,114,542,449,542,0.03871115906188402,0.003416019546213429,700.0,0.566,114,542,449,0.03871115906188402,0.003416019546213429,700.0,88,414,357,0.07855957562626036,0.0035429783637430617,688.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_2,20,hybrid_sabre_adopted,88,446,393,446,0.04253653667115508,0.0038614643807852304,572.0,0.603,88,446,393,0.04253653667115508,0.0038614643807852304,572.0,77,363,322,0.10824886879319001,0.0034541834310456345,728.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_3,20,hybrid_sabre_adopted,104,514,459,514,0.03562015368540745,0.0035579636115299043,694.0,0.624,104,514,459,0.03562015368540745,0.0035579636115299043,694.0,76,376,287,0.09819262151052101,0.003438187683941302,668.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_4,20,rl_multistart_routed,102,500,432,500,0.044607710081743815,0.0033010859994164724,614.0,0.632,111,527,397,0.03700705727886806,0.0035247329495006583,766.0,84,392,323,0.0916636299808815,0.0034069964806261164,668.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_5,20,rl_multistart_routed,95,459,389,459,0.06530888552585462,0.003153042558518732,598.0,0.645,98,468,411,0.06171874751171906,0.003304211510874274,594.0,67,325,334,0.14186691416299482,0.0034080502007900505,598.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_6,20,hybrid_sabre_adopted,105,497,456,497,0.04503311676302423,0.003523389420203865,774.0,0.592,105,497,456,0.04503311676302423,0.003523389420203865,774.0,73,357,351,0.10972359653402969,0.003537189479527574,774.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_7,20,hybrid_sabre_adopted,97,467,389,467,0.05727454429680136,0.0034589532882727952,594.0,0.477,97,467,389,0.05727454429680136,0.0034589532882727952,594.0,85,389,313,0.09657218805791735,0.003475235146256533,720.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_8,20,hybrid_sabre_adopted,95,459,344,459,0.05254647579844539,0.0034092543843384734,616.0,0.358,95,459,344,0.05254647579844539,0.0034092543843384734,616.0,75,353,314,0.10967243894208327,0.003534139984667641,694.0
queko_BIGD/20QBT_45CYC_.0D1_.6D2_9,20,hybrid_sabre_adopted,82,444,349,444,0.06195242841862332,0.003456416483946162,650.0,0.35,82,444,349,0.06195242841862332,0.003456416483946162,650.0,85,421,321,0.07980657418084516,0.0034380923368168633,690.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_0,20,hybrid_sabre_adopted,103,502,402,502,0.04177220422899829,0.003539637508908859,740.0,0.334,103,502,402,0.04177220422899829,0.003539637508908859,740.0,76,387,326,0.09940354093390888,0.0033670715977335637,822.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_1,20,hybrid_sabre_adopted,128,595,455,595,0.02774698987188074,0.0034322353271462073,834.0,0.429,128,595,455,0.02774698987188074,0.0034322353271462073,834.0,92,451,371,0.0634074014958329,0.00342902392475421,854.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_2,20,hybrid_sabre_adopted,106,517,427,517,0.0390058519283464,0.00359542357634982,732.0,0.351,106,517,427,0.0390058519283464,0.00359542357634982,732.0,67,342,296,0.1290147363254342,0.0034026246279584985,694.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_3,20,hybrid_sabre_adopted,125,584,448,584,0.02919298117180286,0.003390143692157154,830.0,0.359,125,584,448,0.02919298117180286,0.003390143692157154,830.0,72,383,350,0.09180390286294207,0.0034623409130663803,686.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_4,20,hybrid_sabre_adopted,115,546,487,546,0.029818958909428664,0.0037044092407836145,824.0,0.357,115,546,487,0.029818958909428664,0.0037044092407836145,824.0,84,407,324,0.08298613165978942,0.0034670742919132194,820.0
