circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BNTF/16QBT_15CYC_TFL_3,16,hybrid_sabre_adopted,0,30,30,30,0.7918611579334601,0.003135403556667218,60.0,0.383,0,30,30,0.7918611579334601,0.003135403556667218,60.0,0,22,21,0.8499876993213473,0.003635861018110363,120.0
queko_BNTF/16QBT_15CYC_TFL_4,16,hybrid_sabre_adopted,0,30,25,30,0.7960071227933005,0.0036331973115108864,60.0,0.316,0,30,25,0.7960071227933005,0.0036331973115108864,60.0,0,22,18,0.8606581937427568,0.0035234238788720033,60.0
queko_BNTF/16QBT_15CYC_TFL_5,16,hybrid_sabre_adopted,0,30,27,30,0.7862583463201229,0.0036377033062240938,60.0,0.326,0,30,27,0.7862583463201229,0.0036377033062240938,60.0,0,18,15,0.8723488855524746,0.003876059593713241,60.0
queko_BNTF/16QBT_15CYC_TFL_6,16,hybrid_sabre_adopted,0,34,31,34,0.7807052578729649,0.0033337494364427014,68.0,0.3,0,34,31,0.7807052578729649,0.0033337494364427014,68.0,0,28,24,0.8149872546402449,0.0038128704163966484,68.0
queko_BNTF/16QBT_15CYC_TFL_7,16,hybrid_sabre_adopted,0,26,31,26,0.8086186160106115,0.003614611162122592,52.0,0.31,0,26,31,0.8086186160106115,0.003614611162122592,52.0,0,20,21,0.8637723199433007,0.0037706752879580864,64.0
queko_BNTF/16QBT_15CYC_TFL_8,16,hybrid_sabre_adopted,0,28,40,28,0.7875845444888541,0.003433529693547172,56.0,0.412,0,28,40,0.7875845444888541,0.003433529693547172,56.0,0,22,31,0.8454818709322401,0.003911294266514959,80.0
queko_BNTF/16QBT_15CYC_TFL_9,16,hybrid_sabre_adopted,0,30,28,30,0.7968121121431052,0.003603904839963024,60.0,0.471,0,30,28,0.7968121121431052,0.003603904839963024,60.0,0,24,20,0.8519895516298435,0.0034881884452457133,80.0
queko_BNTF/16QBT_20CYC_TFL_0,16,hybrid_sabre_adopted,0,34,35,34,0.7672818053925895,0.0037860999140136397,68.0,0.523,0,34,35,0.7672818053925895,0.0037860999140136397,68.0,0,28,24,0.8298703184537058,0.003615514220031004,68.0
queko_BNTF/16QBT_20CYC_TFL_1,16,hybrid_sabre_adopted,0,36,38,36,0.7664774273198381,0.00338855561389456,72.0,0.372,0,36,38,0.7664774273198381,0.00338855561389456,72.0,0,26,25,0.8285782449512265,0.003981172164831489,72.0
queko_BNTF/16QBT_20CYC_TFL_2,16,hybrid_sabre_adopted,0,28,26,28,0.8119690756012852,0.00363698340891845,56.0,0.323,0,28,26,0.8119690756012852,0.00363698340891845,56.0,0,18,17,0.882088414450171,0.003337659397148572,144.0
queko_BNTF/16QBT_20CYC_TFL_3,16,hybrid_sabre_adopted,0,36,39,36,0.7725779099601798,0.0036705765612594404,72.0,0.427,0,36,39,0.7725779099601798,0.0036705765612594404,72.0,0,16,24,0.8942151681375952,0.0033869177600172147,232.0
queko_BNTF/16QBT_20CYC_TFL_4,16,hybrid_sabre_adopted,0,40,37,40,0.7329417651375991,0.0039030557944021204,80.0,0.358,0,40,37,0.7329417651375991,0.0039030557944021204,80.0,0,30,25,0.817649953870236,0.003536206161592795,80.0
queko_BNTF/16QBT_20CYC_TFL_5,16,hybrid_sabre_adopted,0,46,37,46,0.7119310570921281,0.003779593987284254,92.0,0.304,0,46,37,0.7119310570921281,0.003779593987284254,92.0,0,34,28,0.7849605199626007,0.00393469462991171,92.0
queko_BNTF/16QBT_20CYC_TFL_6,16,hybrid_sabre_adopted,0,36,37,36,0.7524356784559146,0.003576425424906527,72.0,0.312,0,36,37,0.7524356784559146,0.003576425424906527,72.0,0,30,30,0.8119780970250698,0.0038042864533892684,120.0
queko_BNTF/16QBT_20CYC_TFL_7,16,hybrid_sabre_adopted,0,50,47,50,0.6742533260912695,0.0037445658559959127,100.0,0.547,0,50,47,0.6742533260912695,0.0037445658559959127,100.0,0,44,36,0.7391465018925463,0.0037857667278315865,100.0
queko_BNTF/16QBT_20CYC_TFL_8,16,hybrid_sabre_adopted,0,38,38,38,0.7608384392537543,0.0035205250916203745,76.0,0.357,0,38,38,0.7608384392537543,0.0035205250916203745,76.0,0,30,26,0.8075234611545187,0.003707078596131528,76.0
queko_BNTF/16QBT_20CYC_TFL_9,16,hybrid_sabre_adopted,0,40,37,40,0.7571988860672981,0.0031271058604562725,80.0,0.305,0,40,37,0.7571988860672981,0.0031271058604562725,80.0,0,28,25,0.8218433774809769,0.003588307027734306,128.0
queko_BNTF/16QBT_25CYC_TFL_0,16,hybrid_sabre_adopted,0,40,35,40,0.7396317719261526,0.0036669353028785843,80.0,0.306,0,40,35,0.7396317719261526,0.0036669353028785843,80.0,0,26,26,0.8392105082232854,0.003430724567549517,180.0
queko_BNTF/16QBT_25CYC_TFL_1,16,hybrid_sabre_adopted,0,52,41,52,0.7042958700493339,0.003384983018169834,104.0,0.301,0,52,41,0.7042958700493339,0.003384983018169834,104.0,0,32,24,0.7980426593164506,0.003918793319165956,104.0
queko_BNTF/16QBT_25CYC_TFL_2,16,hybrid_sabre_adopted,0,38,37,38,0.7889827684317329,0.0032492866202119114,76.0,0.331,0,38,37,0.7889827684317329,0.0032492866202119114,76.0,0,24,23,0.8530928628088961,0.0036673556976105446,124.0
queko_BNTF/16QBT_25CYC_TFL_3,16,hybrid_sabre_adopted,0,54,47,54,0.6847385095181316,0.003757582868570573,108.0,0.373,0,54,47,0.6847385095181316,0.003757582868570573,108.0,0,30,29,0.8095316428414606,0.0037275327288661723,108.0
queko_BNTF/16QBT_25CYC_TFL_4,16,hybrid_sabre_adopted,0,46,49,46,0.7209818986705686,0.003289874915853266,92.0,0.315,0,46,49,0.7209818986705686,0.003289874915853266,92.0,0,30,40,0.8188119202766936,0.003725041652829736,116.0
queko_BNTF/16QBT_25CYC_TFL_5,16,hybrid_sabre_adopted,0,42,47,42,0.7452632648694438,0.0035372052544660687,84.0,0.301,0,42,47,0.7452632648694438,0.0035372052544660687,84.0,0,24,24,0.8355447987296061,0.0036413142729719524,84.0
